iter	Passed	Remaining
0	0	189
1	1	157
2	2	145
3	2	137
4	3	133
5	4	130
6	4	128
7	5	125
8	5	124
9	6	122
10	7	121
11	7	119
12	8	118
13	8	117
14	9	116
15	10	115
16	10	114
17	11	113
18	11	112
19	12	112
20	13	111
21	13	110
22	14	109
23	14	108
24	15	108
25	16	107
26	16	106
27	17	105
28	17	105
29	18	104
30	19	103
31	19	103
32	20	102
33	20	101
34	21	101
35	22	100
36	22	99
37	23	99
38	23	98
39	24	97
40	25	96
41	25	96
42	26	95
43	26	94
44	27	94
45	28	93
46	28	93
47	29	92
48	29	91
49	30	91
50	31	90
51	31	90
52	32	89
53	32	88
54	33	88
55	34	87
56	34	86
57	35	86
58	35	85
59	36	84
60	36	84
61	37	83
62	38	83
63	38	82
64	39	81
65	39	81
66	40	80
67	41	79
68	41	79
69	42	78
70	42	78
71	43	77
72	44	76
73	44	76
74	45	75
75	45	74
76	46	74
77	47	73
78	47	73
79	48	72
80	48	71
81	49	71
82	50	70
83	50	69
84	51	69
85	51	68
86	52	68
87	53	67
88	53	66
89	54	66
90	54	65
91	55	65
92	55	64
93	56	63
94	57	63
95	57	62
96	58	62
97	59	61
98	59	61
99	60	60
100	61	59
101	61	59
102	62	58
103	62	58
104	63	57
105	64	56
106	64	56
107	65	55
108	65	54
109	66	54
110	67	53
111	67	53
112	68	52
113	68	51
114	69	51
115	70	50
116	70	50
117	71	49
118	72	49
119	72	48
120	73	47
121	74	47
122	74	46
