Date,Time,Headline,Publisher,URL
2026-08-10,22:34:00,FALCON GOLD CORP. RESTATES NON-BROKERED PRIVATE PLACEMENT,PRNewswire,https://www.prnewswire.com/news-releases/falcon-gold-corp-restates-non-brokered-private-placement-302847561.html
2026-08-10,22:48:09,Newmont share price on watch after Nevada Gold Mines JV deal with Barrick,Motley Fool Australia,https://www.fool.com.au/2026/08/11/newmont-share-price-on-watch-after-nevada-gold-mines-jv-deal-with-barrick/
2026-08-10,23:30:00,South32 shares hit 10-year high: What's next?,Motley Fool Australia,https://www.fool.com.au/2026/08/11/south32-shares-hit-10-year-high-whats-next/
2026-08-11,00:00:46,'Urgent health warning' issued about High Street underwear that could be leaving wearers with silent but stubborn foul-smelling bacterial infections,Dailymail.com,https://www.dailymail.com/health/article-16042321/High-Street-underwear-bacterial-infections-silver.html
2026-08-11,01:46:22,"Buzzing stocks: BSE, Wipro, TCS, HCLTech, BEL, Lupin and 20+ stocks in focus on Tuesday",BusinessLine,https://www.thehindubusinessline.com/markets/buzzing-stocks-bse-wipro-tcs-hcltech-bel-lupin-and-20-stocks-in-focus-on-tuesday/article71330849.ece
2026-08-11,03:38:11,"Q1 Results Today Live: Siemens, Zydus Lifesciences, MRF, RVNL, PI Industries, Manappuram Finance, NBCC, Kalpataru, Swan Defence, Bata, Gujarat Energy, KPI Green to announce Q1 results, Vi, Bosch, Zee, Bharat Forge, Hindustan Copper, Info Edge in focus",BusinessLine,https://www.thehindubusinessline.com/markets/q1-results-today-live-updates-siemens-zydus-lifescience-mrf-rvnl-pi-industries-manappuram-finance-nbcc-kalpataru-swan-defence-bata-gujarat-energy-kpi-green-vi-bosch-zee-results-11-august-2026/article71327946.ece
2026-08-11,04:03:56,Economics & Investing Media of the Week,Survivalblog.com,https://survivalblog.com/2026/08/11/economics-investing-media-of-the-week-34/
2026-08-11,04:34:14,Reserve Bank keeps interest rates on hold: Aussies breathe a sigh of relief,Dailymail.com,https://www.dailymail.com/news/article-16042961/Reserve-Bank-rate.html
2026-08-11,06:00:51,Is This Finally the Repairable Convertible Laptop to Keep?,The Gadgeteer,https://the-gadgeteer.com/2026/08/11/framework-laptop-12-repairable-convertible/
2026-08-11,07:20:02,Sensex slides 449 pts; metal shares decline,Business Standard,https://www.business-standard.com/markets/capital-market-news/sensex-slides-449-pts-metal-shares-decline-126081100769_1.html
2026-08-11,08:12:00,NBN Co's use of SaaS drives up its IT costs,iTnews,https://www.itnews.com.au/news/nbn-cos-use-of-saas-drives-up-its-it-costs-628082
2026-08-11,09:00:00,Global Precision Parts Market to Reach USD 376.96 Billion by 2031 as OEM Demand Moves Toward Higher-Value Components - Arizton,PRNewswire,https://www.prnewswire.com/news-releases/global-precision-parts-market-to-reach-usd-376-96-billion-by-2031-as-oem-demand-moves-toward-higher-value-components--arizton-302848231.html
2026-08-11,09:00:12,The CJRB Crag Brings Big-Blade Utility to Everyday Carry,The Gadgeteer,https://the-gadgeteer.com/2026/08/11/cjrb-crag-folding-knife/
2026-08-11,09:03:03,K92 Mining Q2 Earnings Call Highlights,MarketBeat,https://www.marketbeat.com/instant-alerts/k92-mining-q2-earnings-call-highlights-2026-08-11/?utm_source=yahoofinance&amp;utm_medium=yahoofinance
2026-08-11,09:51:52,Finolex Cables hits 52-week high after Q1 PAT climbs 59% YoY to Rs 221 cr,Business Standard,https://www.business-standard.com/markets/capital-market-news/finolex-cables-hits-52-week-high-after-q1-pat-climbs-59-yoy-to-rs-221-cr-126081101129_1.html
2026-08-11,10:00:21,The U.S. Faces A Mining Crisis: How To Escape Our Dependence On China,Forbes,https://www.forbes.com/sites/steveforbes/2026/08/11/the-us-faces-a-mining-crisis-how-to-escape-our-dependence-on-china/
2026-08-11,10:14:47,"Goliath Intercepts Up To 10.32 g/t Au Over 6.00 Meters Within The New 320 Meter Expansion Area Of Golden Gate Zone To The Northeast, Remains Open, On High-Grade Gold Surebet Discovery, Golden Triangle, B.C.",Financial Post,https://financialpost.com/globe-newswire/goliath-intercepts-up-to-10-32-g-t-au-over-6-00-meters-within-the-new-320-meter-expansion-area-of-golden-gate-zone-to-the-northeast-remains-open-on-high-grade-gold-surebet-discovery-golden-triangle
2026-08-11,10:43:37,Barrick Mining appoints Sebastiaan Bock to lead Rest of World operations,Advfn.com,https://investorshub.advfn.com/market-news/article/33966/barrick-mining-appoints-sebastiaan-bock-to-lead-rest-of-world-operations
2026-08-11,10:45:00,"Blue Moon Metals Acquires 33 Tungsten and Antimony Projects in the Western United States Becoming a Significant U.S. Tungsten, Germanium, Gallium and Antimony Owner in the U.S.",PRNewswire,https://www.prnewswire.com/news-releases/blue-moon-metals-acquires-33-tungsten-and-antimony-projects-in-the-western-united-states-becoming-a-significant-us-tungsten-germanium-gallium-and-antimony-owner-in-the-us-302847671.html
