Date,Headline,Publisher
2014-02-06,"Despite OPEC+ deal collapse, Saudi oil exports yet to rise-sources https://t.co/cDreUaBtVo https://t.co/t7lYA6uwxq",Twitter/Retail
2014-02-16,Oil gains on fresh hopes for U.S.-China trade talks,Twitter/Retail
2014-02-16,Saudi Arabia Does Not Have Much Incentive To End The Oil Price War. https://t.co/kmiHsMhvwA #trading #markets #finance,Twitter/Retail
2014-02-21,Kremlin says efforts to persuade Mexico to join oil cuts deal persist - TASS https://t.co/y1cgLM7HAe https://t.co/mijGuCKi8S,Twitter/Retail
2014-02-23,Why Russian Compliance With The Last And Latest OPEC+ Agreements Is Doubtful. Follow this and any other stock on Se… https://t.co/uXT5LDt5eP,Twitter/Retail
2014-03-19,Oil Price Might Go Negative - Bullish For WTI. https://t.co/AxMlbazg55 #stockmarket #stocks #business,Twitter/Retail
2014-03-21,Total gets Libya's approval to acquire Marathon Oil concession https://t.co/d58beiqsNH,Twitter/Retail
2014-03-23,News Highlights : Top Energy News of the Day #WTI #Stock #MarketScreener https://t.co/BZ27X3vQTW https://t.co/dh5r7KXanX,Twitter/Retail
2014-04-05,"Yemen Oil and Gas Market, Size, Share, Outlook and Growth Opportunities, 2016-2019 & 2020-2026 -… https://t.co/sj5UE2gMCh",Twitter/Retail
2014-04-11,Trump Proposes Selling 15 Million Barrels From U.S. Oil Reserve,Twitter/Retail
2014-04-19,Total Profit Beats Estimates on Rising Oil and Gas Output,Twitter/Retail
2014-07-11,Canada's oil-sands industry may have already built its last big mine https://t.co/Uota9vYdtP,Twitter/Retail
2014-07-17,"Oil is down, gold is up. Rates are flashing warnings. But someone forgot to tell stocks https://t.co/7ymiUQWP3f",Twitter/Retail
2014-07-25,Eni CEO Sees Oil Market Stabilizing on U.S.-China deal,Twitter/Retail
2014-08-06,"$RDS.A $RDS.B - Shell: The End Of Oil And Gas Is Not Near, And Investors Can Benefit From A High Yield. Read more a… https://t.co/0EMJcv65yX",Twitter/Retail
2014-08-11,News Highlights : Top Energy News of the Day #WTI #Stock #MarketScreener https://t.co/nACw4sVj8H https://t.co/KMZxDj39tO,Twitter/Retail
2014-08-13,Oil Bankruptcies Are Reaching Worrying Levels,Twitter/Retail
2014-09-01,News Highlights : Top Energy News of the Day #WTI #Stock #MarketScreener https://t.co/pBZAoYUo9V https://t.co/lAhsqxtW17,Twitter/Retail
2014-10-19,The global oil market is drowning in excess crude as demand plummets. Insights via @CMEGroup https://t.co/JklSJKFfRS,Twitter/Retail
2014-10-22,Global oil majors seeking combined $27B in asset sales - report,Twitter/Retail
2014-11-07,"Saudi, Russia win over oil producers to deeper cuts https://t.co/yg3AXpQ4Oj https://t.co/LiiA9I8Lcp",Twitter/Retail
2014-11-10,"Algeria to cut oil output by 12,000 bpd under new OPEC deal #economy #MarketScreener https://t.co/cpeDaozf3J https://t.co/IYoYnnKDyH",Twitter/Retail
2014-11-24,Oil Price Fundamental Weekly Forecast – We’ll Find Out This Week if Traders Liked the Trade Deal,Twitter/Retail
2014-11-26,"Total beats quarterly forecasts despite low oil price, lifts payout",Twitter/Retail
2014-12-24,Investment in Canada's oil-sands is on track to grow for the first time since prices crashed in 2014 https://t.co/Ws3dGV4VgC,Twitter/Retail
2015-01-19,Norway considers attending OPEC+ meeting on April 9 - oil ministry #AkerBP #Stock #MarketScreener… https://t.co/KAvIemdXpl,Twitter/Retail
2015-01-25,Crude Oil Price Update – Direction Controlled by $51.84 Pivot,Twitter/Retail
2015-02-20,Russia's key oil producers voiced support for extending OPEC+ output cuts into the second quarter https://t.co/SnCimY5rl9,Twitter/Retail
2015-03-02,Commodities including crude oil and copper fell on concerns that the coronavirus would pare Chinese demand for raw… https://t.co/YiE5FCEdPo,Twitter/Retail
2015-03-04,"$USO $XLE $OIL - Oil slides amid output uncertainty, forecast for big Cushing stockpile gain https://t.co/1EV0cQBSx6",Twitter/Retail
2015-03-04,Oil's Biggest Bullish Boost Since 2016 Scores on Trade Armistice,Twitter/Retail
