Date,Headline,Publisher
2014-02-20,Here's Why We're Not Too Worried About Liberty Gold's (TSE:LGD) Cash Burn Situation,Twitter/Retail
2014-02-22,Gold hits 4-month high after U.S. strike kills key Iran military leader https://t.co/zWPGVNbFHn,Twitter/Retail
2014-03-06,Gold Falls After Strong Jobless Report #Silver #Stock #MarketScreener https://t.co/sgJSZrfvJE https://t.co/JZ5Pu0GTuN,Twitter/Retail
2014-03-28,Protest forces AngloGold to suspend Guinea gold production,Twitter/Retail
2014-04-30,XAU/USD Bullish ABC Pattern Aims at $1500 Resistance,Twitter/Retail
2014-05-29,6 Gold Companies Investors Can’t Ignore In 2020,Twitter/Retail
2014-07-12,$NUGT $JNUG - Exposure of two Direxion 3X gold ETFs slip to below 300% https://t.co/vaE9c7yOpH,Twitter/Retail
2014-07-17,"Oil is down, gold is up. Rates are flashing warnings. But someone forgot to tell stocks https://t.co/7ymiUQWP3f",Twitter/Retail
2014-08-17,Hawkish FOMC sends dollar lower.,Twitter/Retail
2014-09-20,Austral Gold : AGD to acquire remaining 30% of Casposo Mine in Argentina #AustralGold #Stock #MarketScreener… https://t.co/arSya9Sjjh,Twitter/Retail
2014-10-08,China Fears Are Still Propelling Gold Demand. https://t.co/RAB1hQkW6r #stockmarket #economy #markets,Twitter/Retail
2014-10-23,Coronavirus fears raise market expectations for Fed rate cut in March https://t.co/Z33zqdljVu by @bcheungz https://t.co/XwHo1ZlMR2,Twitter/Retail
2014-11-26,"$PALL - Palladium Should Fall Soon, Why This Could Be Important For Gold. https://t.co/OMMk0rkHS4 #investing #economy #finance",Twitter/Retail
2014-12-27,Hedge Funds Have Never Been This Bullish On Osisko Gold Royalties Ltd (OR),Twitter/Retail
2015-02-14,Golf legend @jacknicklaus’s original 18-karat gold Rolex will be auctioned off today at Manhattan’s Phillip Auction… https://t.co/32uoCyWt9K,Twitter/Retail
2015-05-08,Alacer Gold : Corrected - Significant Extension of Ardich Mineralization #AlacerGold #Stock #MarketScreener… https://t.co/URcTa4Cai4,Twitter/Retail
2015-05-13,Gold Mine Output Falls For First Time Since 2008 https://t.co/W6LYcZvzxt,Twitter/Retail
2015-05-22,"The deepening crisis at debt-ridden Eskom shut down South Africa's key mining industry for 24 hours, hitting gold a… https://t.co/DXHzj6LIkd",Twitter/Retail
2015-06-20,"Gold is going to $2,500, $3,000 an ounce: investment expert https://t.co/hlkzcR2CaY https://t.co/74Nz6TV9Qn",Twitter/Retail
2015-07-05,Read the latest FOMC statement https://t.co/VCPbCo6m61,Twitter/Retail
2015-09-19,"April gold up 0.3% at $1,567.30/oz.",Twitter/Retail
2015-10-14,Gold prices add to losses after jobs report,Twitter/Retail
2015-10-16,Gold dips as trade deal optimism benefits riskier assets https://t.co/RWN6oROmRi https://t.co/YDYtPtJpJ9,Twitter/Retail
2015-11-12,"Gold is going to $2,500, $3,000 an ounce: investment expert https://t.co/Kc41XEEQLH https://t.co/dyXrizEju8",Twitter/Retail
2015-11-18,"Gold on track for a fourth straight gain, buoyed by coronavirus outbreak https://t.co/cpi5yGY54R",Twitter/Retail
2015-12-15,6 Gold Companies Investors Can’t Ignore In 2020 - Yahoo Finance,Twitter/Retail
2015-12-28,"Gold rises above $1,700 as bullion buyers hedge upbeat stock bets https://t.co/lSOF52tCJ6",Twitter/Retail
2016-03-23,Royal Gold (NASDAQ:RGLD) Shareholders Booked A 68% Gain In The Last Five Years,Twitter/Retail
2016-04-14,Consolidation in gold industry resumes as Kirkland Lake approaches Detour https://t.co/JVTtsLTxHc,Twitter/Retail
2016-04-20,Bellevue Gold : Becoming a substantial holder from MQG #BellevueGold #Stock #MarketScreener https://t.co/iRRNzPBhDt https://t.co/IOfdNks5O0,Twitter/Retail
2016-04-21,Gold Falls After Strong Jobless Report #Silver #Stock #MarketScreener https://t.co/Oc9YF2qFrI https://t.co/02RqJbTnaD,Twitter/Retail
2016-04-28,"Most-active gold futures jumped 6.6% to $1,671.20 a troy ounce in New York. Silver, platinum and palladium all rose… https://t.co/aDRGg4L1ya",Twitter/Retail
2016-05-06,Reunion Gold Announces Change in Fiscal Year-End  https://t.co/w6lAuHY5lY,Twitter/Retail
2016-06-18,Amani Gold : Secures Gold Dealers License in Tanzania #AmaniGold #Stock #MarketScreener https://t.co/fUr63A7aVB https://t.co/AHlEWGRAtq,Twitter/Retail
2016-08-23,$KGC - Kinross Gold (KGC) Presents At 23rd Annual Western Institutional Investor Conference - Slideshow.... https://t.co/3GHkbeYsRj,Twitter/Retail
2016-09-02,Why is gold lower on the day? https://t.co/5F3GjdTMZU,Twitter/Retail
2016-09-23,Gold Price Forecast – Gold Markets Recover After Initial Selloff,Twitter/Retail
2016-10-19,WATCH: Fed Chair Powell holds a press conference following the FOMC's unanimous decision to leave interest rates un… https://t.co/od2QG12LGo,Twitter/Retail
2017-01-01,What Is Holding Gold Back. https://t.co/G7nYRY2yUI #finance #stockmarket #economy,Twitter/Retail
2017-01-01,Jeff Clark’s Market Minute: This Needs to Happen Before Gold Runs Higher,Twitter/Retail
2017-01-15,$XAUUSD:CUR $GLD $IAU - Gold gets jiggy after Fed actions https://t.co/gRrR8mCP0d,Twitter/Retail
2017-01-15,History suggests there's a good chance gold will bounce back strongly after this month's pummeling… https://t.co/2B4ciDnlmW,Twitter/Retail
2017-02-03,Gold little changed after economic reports,Twitter/Retail
2017-04-05,"Despite its strong ties to geopolitical events, gold is still driven by supply and demand.  https://t.co/d5nKtsma4S",Twitter/Retail
2017-04-15,LIVE: Fed Chair Jerome Powell delivers remarks at the decade's last FOMC meeting https://t.co/4wAYSuWpHF,Twitter/Retail
2017-04-28,History suggests there's a good chance gold will bounce back strongly after this month's pummeling https://t.co/3O0fLqhdws,Twitter/Retail
2017-04-30,"December gold off 0.1% at $1,1469.90/oz.",Twitter/Retail
2017-06-14,"Quite Convinced There Will Not Be a Phase Two Trade Deal, Says Matt Gold",Twitter/Retail
2017-06-23,"$GLD $IAU $PHYS - Gold creeps towards $1,600 as market jitters rise https://t.co/2pJU2fk8cl",Twitter/Retail
2017-06-27,Galileo Mining : Copper - Gold Drilling Underway at Norseman Prospects #GalileoMining #Stock #MarketScreener… https://t.co/QbtwRsIFEP,Twitter/Retail
2017-09-23,A Dividend Growth Strategy Based On Gold. Get more info on Seeking Alpha: https://t.co/jPbris9jNi #finance #economy #business,Twitter/Retail
2017-12-13,Gold Suddenly Hammered By Multi-Billion-Dollar Sale  https://t.co/aZrE20B3DJ,Twitter/Retail
2018-02-22,5 Gold-Mining Stocks Still Expected to Surge Higher and Outperform in 2020,Twitter/Retail
2018-03-22,"Price of Gold Fundamental Weekly Forecast – Underpinned by Weaker Dollar, Cautious Response to Trade Deal",Twitter/Retail
2018-04-13,Austar Gold : Extension of voluntary suspension #AustarGold #Stock #MarketScreener https://t.co/vheerRsXzI https://t.co/5JFrjWs7u6,Twitter/Retail
2018-05-05,Gold Price Forecast - Gold Markets Recover After Initial Selloff - FX Empire,Twitter/Retail
2018-06-29,Internet Gold reports Q3 results,Twitter/Retail
2018-08-21,"April gold falls 0.3% at $1,565.60/oz.",Twitter/Retail
2018-10-19,Gold scales more than 3-week peak as coronavirus hits global economies https://t.co/b5j3WLUOz7 https://t.co/cbdfhAZYZD,Twitter/Retail
2018-11-04,Gold has surged this year thanks to the trade war and rate cuts. Analysts say 2020 may bring more rewards.… https://t.co/t85Oydg8Bl,Twitter/Retail
2018-12-25,"Gold prices move up as focus turns to Fed meeting, China trade deal https://t.co/s3o6R9LARM",Twitter/Retail
2019-01-27,$KL $DRGDF - Kirkland Lake Gold to buy Detour Gold in C$4.9B deal https://t.co/c2ZQzgDVOK,Twitter/Retail
2019-02-18,4 Bond ETFs That Earned Morningstar’s Gold Rating,Twitter/Retail
2019-02-24,"Feb. gold climbs by 10 cents, or 0.01%, to settle at $1,480.60/oz",Twitter/Retail
2019-03-16,Hold Iamgold to Benefit From Next Gold Bull Market,Twitter/Retail
2019-04-08,"Gold gains for a second straight day, up 6% in biggest daily rise in 11 years https://t.co/ijqZlh8kjF",Twitter/Retail
2019-04-19,"Goldman Sachs pushes gold, based in part on growing popularity of deficit-spending theory https://t.co/GHCumq1QS8",Twitter/Retail
2019-05-04,"The technical levels to watch on gold, oil and U.S. treasuries https://t.co/QfiTV4DidR https://t.co/T1VdsU9uu3",Twitter/Retail
2019-06-10,Gold steadies as virus concerns stall stock markets - Nasdaq,Twitter/Retail
2019-08-14,$KL: Kirkland Lake Gold to acquire Detour Gold in C$4.9 bln deal https://t.co/Vj3LzZHAmt,Twitter/Retail
2019-08-28,Gold edges lower as investors turn cautiously upbeat on trade outlook https://t.co/hXm8MQnuxr,Twitter/Retail
2019-10-02,Hedge Funds Are Warming Up To Eldorado Gold Corp (EGO) Again,Twitter/Retail
2019-10-02,Price of Gold Fundamental Daily Forecast - Direction Dictated by Demand for Higher-Yielding Assets - FX Empire,Twitter/Retail
2019-10-25,Gold bars in short supply due to coronavirus disruption https://t.co/EWyq7sdECJ,Twitter/Retail
2019-11-26,Royal Gold declares $0.28 dividend,Twitter/Retail
