Date,Headline,Publisher
2015-03-02,Commodities including crude oil and copper fell on concerns that the coronavirus would pare Chinese demand for raw… https://t.co/YiE5FCEdPo,Twitter/Retail
2015-03-25,$HG1:COM $FCX $TECK - Copper pops to biggest gain in six years on stimulus bet https://t.co/RMjaEyvsZ8,Twitter/Retail
2015-05-29,Copper belt miners turn to Tanzania as South Africa lockdown hobbles ports https://t.co/YCyHO65NXN https://t.co/fHcLtedTee,Twitter/Retail
2016-03-02,"IBM: one free cloud (and a free ton of copper) with every purchase of cloud

what happens to AWS margins now?",Twitter/Retail
2017-05-05,"Santana Minerals : Petrology Confirms Nickel, Cobalt and Copper Sulphides- Laos #SantanaMinerals #Stock… https://t.co/iFuAAs9x2O",Twitter/Retail
2017-06-01,"BHP is plans to increase its stake in SolGold, which develops projects in copper hot spot Ecuador https://t.co/JRxd5ww9Sy",Twitter/Retail
2017-06-27,Galileo Mining : Copper - Gold Drilling Underway at Norseman Prospects #GalileoMining #Stock #MarketScreener… https://t.co/QbtwRsIFEP,Twitter/Retail
2018-02-20,Barrick gearing for more asset sales while considering more copper,Twitter/Retail
2018-04-08,RPT-ASIA COPPER WEEK-Freeport sees sharp drop in copper treatment charges next year,Twitter/Retail
2020-09-15,Copper Buyers Call Force Majeure Amid China's Efforts To Control Coronavirus Outbreak. https://t.co/PwX6DOz94q… https://t.co/8USCGeqPSA,Twitter/Retail
2021-07-08,"Oil, copper remain well below peaks hit in mid-April, a sign investors remain skeptical about demand without an ove… https://t.co/eo4QwjdSqy",Twitter/Retail
2021-10-30,Copper belt miners turn to Tanzania as South Africa lockdown hobbles ports https://t.co/7Z2rR2OcCt https://t.co/pfZyNAISzp,Twitter/Retail
2021-11-25,2019 Research Report on the Copper Switch-off: Will It Come Soon? - https://t.co/guyiBzPH8C https://t.co/2EmaRMmfKQ https://t.co/2ABl2h8MvR,Twitter/Retail
2022-09-23,$RIO $ACH $TRQ - Rio Tinto says virus slowing copper ore shipments from Mongolia https://t.co/ayoOqNBFjq,Twitter/Retail
2022-12-29,Copper belt miners turn to Tanzania as South Africa lockdown hobbles ports #copper #Stock #MarketScreener… https://t.co/zEAWb6jVmy,Twitter/Retail
