Date,Headline,Publisher,Topic,Source_Weight,Raw_Bullish,Raw_Bearish,Weighted_Bullish,Weighted_Bearish,NSS
2015-03-02,Commodities including crude oil and copper fell on concerns that the coronavirus would pare Chinese demand for raw… https://t.co/YiE5FCEdPo,Twitter/Retail,Macro,0.5,0.011021732352674007,0.9629067778587341,0.005510866176337004,0.48145338892936707,-0.47594252275303006
2015-03-25,$HG1:COM $FCX $TECK - Copper pops to biggest gain in six years on stimulus bet https://t.co/RMjaEyvsZ8,Twitter/Retail,Macro,0.5,0.9356842041015625,0.02122596465051174,0.46784210205078125,0.01061298232525587,0.4572291197255254
2015-05-29,Copper belt miners turn to Tanzania as South Africa lockdown hobbles ports https://t.co/YCyHO65NXN https://t.co/fHcLtedTee,Twitter/Retail,Macro,0.5,0.027815252542495728,0.7052971124649048,0.013907626271247864,0.3526485562324524,-0.33874092996120453
2016-03-02,"IBM: one free cloud (and a free ton of copper) with every purchase of cloud

what happens to AWS margins now?",Twitter/Retail,Macro,0.5,0.023386841639876366,0.1391332894563675,0.011693420819938183,0.06956664472818375,-0.057873223908245564
2017-05-05,"Santana Minerals : Petrology Confirms Nickel, Cobalt and Copper Sulphides- Laos #SantanaMinerals #Stock… https://t.co/iFuAAs9x2O",Twitter/Retail,Macro,0.5,0.03159407526254654,0.024910420179367065,0.01579703763127327,0.012455210089683533,0.003341827541589737
2017-06-01,"BHP is plans to increase its stake in SolGold, which develops projects in copper hot spot Ecuador https://t.co/JRxd5ww9Sy",Twitter/Retail,Macro,0.5,0.8704967498779297,0.007374902255833149,0.43524837493896484,0.0036874511279165745,0.43156092381104827
2017-06-27,Galileo Mining : Copper - Gold Drilling Underway at Norseman Prospects #GalileoMining #Stock #MarketScreener… https://t.co/QbtwRsIFEP,Twitter/Retail,Macro,0.5,0.062430240213871,0.017458217218518257,0.0312151201069355,0.008729108609259129,0.022486011497676373
2018-02-20,Barrick gearing for more asset sales while considering more copper,Twitter/Retail,Macro,0.5,0.32675260305404663,0.011589639820158482,0.16337630152702332,0.005794819910079241,0.15758148161694407
2018-04-08,RPT-ASIA COPPER WEEK-Freeport sees sharp drop in copper treatment charges next year,Twitter/Retail,Supply,0.5,0.038613997399806976,0.9482422471046448,0.019306998699903488,0.4741211235523224,-0.4548141248524189
2020-09-15,Copper Buyers Call Force Majeure Amid China's Efforts To Control Coronavirus Outbreak. https://t.co/PwX6DOz94q… https://t.co/8USCGeqPSA,Twitter/Retail,Macro,0.5,0.13360121846199036,0.39210227131843567,0.06680060923099518,0.19605113565921783,-0.12925052642822266
2021-07-08,"Oil, copper remain well below peaks hit in mid-April, a sign investors remain skeptical about demand without an ove… https://t.co/eo4QwjdSqy",Twitter/Retail,Macro,0.5,0.12660013139247894,0.8121118545532227,0.06330006569623947,0.40605592727661133,-0.34275586158037186
2021-10-30,Copper belt miners turn to Tanzania as South Africa lockdown hobbles ports https://t.co/7Z2rR2OcCt https://t.co/pfZyNAISzp,Twitter/Retail,Macro,0.5,0.029643196612596512,0.7383291125297546,0.014821598306298256,0.3691645562648773,-0.35434295795857906
2021-11-25,2019 Research Report on the Copper Switch-off: Will It Come Soon? - https://t.co/guyiBzPH8C https://t.co/2EmaRMmfKQ https://t.co/2ABl2h8MvR,Twitter/Retail,Macro,0.5,0.05026833713054657,0.021048158407211304,0.025134168565273285,0.010524079203605652,0.014610089361667633
2022-09-23,$RIO $ACH $TRQ - Rio Tinto says virus slowing copper ore shipments from Mongolia https://t.co/ayoOqNBFjq,Twitter/Retail,Macro,0.5,0.02877657860517502,0.9527759552001953,0.01438828930258751,0.47638797760009766,-0.46199968829751015
2022-12-29,Copper belt miners turn to Tanzania as South Africa lockdown hobbles ports #copper #Stock #MarketScreener… https://t.co/zEAWb6jVmy,Twitter/Retail,Supply,0.5,0.03744269162416458,0.3410439193248749,0.01872134581208229,0.17052195966243744,-0.15180061385035515
