Date,Headline,Publisher,Topic,Source_Weight,Raw_Bullish,Raw_Bearish,Weighted_Bullish,Weighted_Bearish,NSS
2014-02-06,"Despite OPEC+ deal collapse, Saudi oil exports yet to rise-sources https://t.co/cDreUaBtVo https://t.co/t7lYA6uwxq",Twitter/Retail,Macro,0.5,0.7500934600830078,0.039736516773700714,0.3750467300415039,0.019868258386850357,0.35517847165465355
2014-02-16,Oil gains on fresh hopes for U.S.-China trade talks,Twitter/Retail,Macro,0.5,0.9027543067932129,0.04886411875486374,0.45137715339660645,0.02443205937743187,0.4269450940191746
2014-02-16,Saudi Arabia Does Not Have Much Incentive To End The Oil Price War. https://t.co/kmiHsMhvwA #trading #markets #finance,Twitter/Retail,Supply,0.5,0.04422997310757637,0.04550982639193535,0.022114986553788185,0.022754913195967674,-0.0006399266421794891
2014-02-21,Kremlin says efforts to persuade Mexico to join oil cuts deal persist - TASS https://t.co/y1cgLM7HAe https://t.co/mijGuCKi8S,Twitter/Retail,Macro,0.5,0.8305838704109192,0.037615157663822174,0.4152919352054596,0.018807578831911087,0.3964843563735485
2014-02-23,Why Russian Compliance With The Last And Latest OPEC+ Agreements Is Doubtful. Follow this and any other stock on Se… https://t.co/uXT5LDt5eP,Twitter/Retail,Supply,0.5,0.025834258645772934,0.04063206538558006,0.012917129322886467,0.02031603269279003,-0.0073989033699035645
2014-03-19,Oil Price Might Go Negative - Bullish For WTI. https://t.co/AxMlbazg55 #stockmarket #stocks #business,Twitter/Retail,Supply,0.5,0.021820705384016037,0.7379410862922668,0.010910352692008018,0.3689705431461334,-0.3580601904541254
2014-03-21,Total gets Libya's approval to acquire Marathon Oil concession https://t.co/d58beiqsNH,Twitter/Retail,Macro,0.5,0.7565046548843384,0.008940677158534527,0.3782523274421692,0.004470338579267263,0.3737819888629019
2014-03-23,News Highlights : Top Energy News of the Day #WTI #Stock #MarketScreener https://t.co/BZ27X3vQTW https://t.co/dh5r7KXanX,Twitter/Retail,Supply,0.5,0.03867605701088905,0.03472643718123436,0.019338028505444527,0.01736321859061718,0.001974809914827347
2014-04-05,"Yemen Oil and Gas Market, Size, Share, Outlook and Growth Opportunities, 2016-2019 & 2020-2026 -… https://t.co/sj5UE2gMCh",Twitter/Retail,Macro,0.5,0.05488758906722069,0.014432215131819248,0.027443794533610344,0.007216107565909624,0.02022768696770072
2014-04-11,Trump Proposes Selling 15 Million Barrels From U.S. Oil Reserve,Twitter/Retail,Macro,0.5,0.1155896931886673,0.013236393220722675,0.05779484659433365,0.006618196610361338,0.05117664998397231
2014-04-19,Total Profit Beats Estimates on Rising Oil and Gas Output,Twitter/Retail,Macro,0.5,0.8527707457542419,0.061135198920965195,0.42638537287712097,0.030567599460482597,0.3958177734166384
2014-07-11,Canada's oil-sands industry may have already built its last big mine https://t.co/Uota9vYdtP,Twitter/Retail,Macro,0.5,0.05712299421429634,0.0349317267537117,0.02856149710714817,0.01746586337685585,0.01109563373029232
2014-07-17,"Oil is down, gold is up. Rates are flashing warnings. But someone forgot to tell stocks https://t.co/7ymiUQWP3f",Twitter/Retail,Macro,0.5,0.06379449367523193,0.718584418296814,0.03189724683761597,0.359292209148407,-0.327394962310791
2014-07-25,Eni CEO Sees Oil Market Stabilizing on U.S.-China deal,Twitter/Retail,Macro,0.5,0.9409872889518738,0.024478383362293243,0.4704936444759369,0.012239191681146622,0.45825445279479027
2014-08-06,"$RDS.A $RDS.B - Shell: The End Of Oil And Gas Is Not Near, And Investors Can Benefit From A High Yield. Read more a… https://t.co/0EMJcv65yX",Twitter/Retail,Supply,0.5,0.35924485325813293,0.014036040753126144,0.17962242662906647,0.007018020376563072,0.1726044062525034
2014-08-11,News Highlights : Top Energy News of the Day #WTI #Stock #MarketScreener https://t.co/nACw4sVj8H https://t.co/KMZxDj39tO,Twitter/Retail,Supply,0.5,0.03885999321937561,0.03184984251856804,0.019429996609687805,0.01592492125928402,0.0035050753504037857
2014-08-13,Oil Bankruptcies Are Reaching Worrying Levels,Twitter/Retail,Macro,0.5,0.02067898027598858,0.9342101216316223,0.01033949013799429,0.46710506081581116,-0.45676557067781687
2014-09-01,News Highlights : Top Energy News of the Day #WTI #Stock #MarketScreener https://t.co/pBZAoYUo9V https://t.co/lAhsqxtW17,Twitter/Retail,Supply,0.5,0.04950132220983505,0.03304378315806389,0.024750661104917526,0.016521891579031944,0.008228769525885582
2014-10-19,The global oil market is drowning in excess crude as demand plummets. Insights via @CMEGroup https://t.co/JklSJKFfRS,Twitter/Retail,Macro,0.5,0.015492944978177547,0.8233176469802856,0.007746472489088774,0.4116588234901428,-0.40391235100105405
2014-10-22,Global oil majors seeking combined $27B in asset sales - report,Twitter/Retail,Macro,0.5,0.8184674382209778,0.020659076049923897,0.4092337191104889,0.010329538024961948,0.39890418108552694
2014-11-07,"Saudi, Russia win over oil producers to deeper cuts https://t.co/yg3AXpQ4Oj https://t.co/LiiA9I8Lcp",Twitter/Retail,Macro,0.5,0.83994060754776,0.04417090862989426,0.41997030377388,0.02208545431494713,0.3978848494589329
2014-11-10,"Algeria to cut oil output by 12,000 bpd under new OPEC deal #economy #MarketScreener https://t.co/cpeDaozf3J https://t.co/IYoYnnKDyH",Twitter/Retail,Macro,0.5,0.040868621319532394,0.7624654769897461,0.020434310659766197,0.38123273849487305,-0.36079842783510685
2014-11-24,Oil Price Fundamental Weekly Forecast – We’ll Find Out This Week if Traders Liked the Trade Deal,Twitter/Retail,Macro,0.5,0.16688679158687592,0.02503073960542679,0.08344339579343796,0.012515369802713394,0.07092802599072456
2014-11-26,"Total beats quarterly forecasts despite low oil price, lifts payout",Twitter/Retail,Macro,0.5,0.913244366645813,0.04876945540308952,0.4566221833229065,0.02438472770154476,0.43223745562136173
2014-12-24,Investment in Canada's oil-sands is on track to grow for the first time since prices crashed in 2014 https://t.co/Ws3dGV4VgC,Twitter/Retail,Macro,0.5,0.9119679927825928,0.011839709244668484,0.4559839963912964,0.005919854622334242,0.45006414176896214
2015-01-19,Norway considers attending OPEC+ meeting on April 9 - oil ministry #AkerBP #Stock #MarketScreener… https://t.co/KAvIemdXpl,Twitter/Retail,Macro,0.5,0.05763838812708855,0.028917094692587852,0.028819194063544273,0.014458547346293926,0.014360646717250347
2015-01-25,Crude Oil Price Update – Direction Controlled by $51.84 Pivot,Twitter/Retail,Macro,0.5,0.02463097870349884,0.03478574752807617,0.01231548935174942,0.017392873764038086,-0.005077384412288666
2015-02-20,Russia's key oil producers voiced support for extending OPEC+ output cuts into the second quarter https://t.co/SnCimY5rl9,Twitter/Retail,Macro,0.5,0.848092257976532,0.09929060190916061,0.424046128988266,0.04964530095458031,0.3744008280336857
2015-03-02,Commodities including crude oil and copper fell on concerns that the coronavirus would pare Chinese demand for raw… https://t.co/YiE5FCEdPo,Twitter/Retail,Macro,0.5,0.011021732352674007,0.9629067778587341,0.005510866176337004,0.48145338892936707,-0.47594252275303006
2015-03-04,"$USO $XLE $OIL - Oil slides amid output uncertainty, forecast for big Cushing stockpile gain https://t.co/1EV0cQBSx6",Twitter/Retail,Macro,0.5,0.07262404263019562,0.8858494162559509,0.03631202131509781,0.44292470812797546,-0.40661268681287766
2015-03-04,Oil's Biggest Bullish Boost Since 2016 Scores on Trade Armistice,Twitter/Retail,Macro,0.5,0.686322808265686,0.0907653421163559,0.343161404132843,0.04538267105817795,0.29777873307466507
2015-03-12,"CN Rail Strike Begins in Threat to Canadian Oil, Grain Cargo",Twitter/Retail,Macro,0.5,0.01084921881556511,0.9362379908561707,0.005424609407782555,0.4681189954280853,-0.4626943860203028
2015-04-17,Record oil production cut hangs in the balance as G20 meeting concludes with no specifics https://t.co/MVPehLJcWr,Twitter/Retail,Supply,0.5,0.02283293567597866,0.9252945780754089,0.01141646783798933,0.46264728903770447,-0.45123082119971514
2015-05-11,"Oil Algos Confused After Huge Crude Build, Record Production, & OPEC Demand Cut | #FreeZeroHedge https://t.co/xuuXUgkjju",Twitter/Retail,Supply,0.5,0.129383385181427,0.8174947500228882,0.0646916925907135,0.4087473750114441,-0.3440556824207306
2015-05-24,This Underdog Could Soon Become The World’s Largest Oil Producer,Twitter/Retail,Supply,0.5,0.35028350353240967,0.014420571736991405,0.17514175176620483,0.007210285868495703,0.16793146589770913
2015-06-09,Trade Alert - Crude Oil Downside. Read more: https://t.co/oq1RDoKKvI #investing #stockmarket #trading,Twitter/Retail,Supply,0.5,0.025643208995461464,0.39731547236442566,0.012821604497730732,0.19865773618221283,-0.1858361316844821
2015-07-01,Total Profit Beats Estimates on Rising Oil and Gas Output ,Twitter/Retail,Macro,0.5,0.8527707457542419,0.061135198920965195,0.42638537287712097,0.030567599460482597,0.3958177734166384
2015-07-05,Oil ends at its lowest level in more than a year as U.S. prices sink below $50 https://t.co/RcsR6VD6eg,Twitter/Retail,Macro,0.5,0.009034298360347748,0.9564423561096191,0.004517149180173874,0.47822117805480957,-0.4737040288746357
2015-07-12,"Oil Slips After OPEC, EIA Reports Forecast Robust Supply #WTI #Stock #MarketScreener https://t.co/7JxMiwy1B2 https://t.co/NdB4wBml82",Twitter/Retail,Supply,0.5,0.07044102996587753,0.8871874809265137,0.035220514982938766,0.44359374046325684,-0.40837322548031807
2015-08-03,"Oil Slips After OPEC, EIA Reports Forecast Robust Supply #WTI #Stock #MarketScreener https://t.co/nGNnPy5ook https://t.co/QMqwCWn5Tm",Twitter/Retail,Supply,0.5,0.05885177478194237,0.8985891342163086,0.029425887390971184,0.4492945671081543,-0.4198686797171831
2015-08-05,$SPY $DIA $QQQ $AAPL $SOXX $XRT $ULTA $TNX $USDX $WTI #NonfarmPayrolls #NonfarmPrivatePayrolls #AvgHourlyEarnings… https://t.co/2IllcPozPO,Twitter/Retail,Macro,0.5,0.056869424879550934,0.02408665418624878,0.028434712439775467,0.01204332709312439,0.016391385346651077
2015-08-08,One man is the surprise holdout to a global oil production deal https://t.co/U5Q50RqEsb,Twitter/Retail,Supply,0.5,0.10257686674594879,0.029714811593294144,0.051288433372974396,0.014857405796647072,0.036431027576327324
2015-10-04,News Highlights : Top Energy News of the Day #WTI #Stock #MarketScreener https://t.co/GKfx9xf2h7 https://t.co/TbJG4KZHBR,Twitter/Retail,Supply,0.5,0.04907207190990448,0.0331917330622673,0.02453603595495224,0.01659586653113365,0.007940169423818588
2015-10-06,The First Oil Company Bailout Of 2020 Is Happening In Canada: Select Shares Soar. https://t.co/eW0P8HmTK2 #trading #investing #stockmarket,Twitter/Retail,Macro,0.5,0.10072140395641327,0.02987346425652504,0.050360701978206635,0.01493673212826252,0.035423969849944115
2015-10-13,"Oil skyrockets, U.S. stock futures sink after Iranian general killed in Iraq airstrike https://t.co/UMiKkaQ42x",Twitter/Retail,Macro,0.5,0.017813922837376595,0.9476233124732971,0.008906961418688297,0.47381165623664856,-0.46490469481796026
2015-11-02,"Oil nears three-month high as trade hopes, UK election boost sentiment",Twitter/Retail,Macro,0.5,0.9267524480819702,0.031638890504837036,0.4633762240409851,0.015819445252418518,0.4475567787885666
2015-11-16,Spot prices for crude oil are little changed in the week ending Nov. 15: Brent ticks up to $62.56 per barrel and WT… https://t.co/MuTSydoo7o,Twitter/Retail,Macro,0.5,0.7110881805419922,0.02857060916721821,0.3555440902709961,0.014285304583609104,0.341258785687387
2015-11-20,"Oil Hits 3-Month High, Catching up on U.S.-China News",Twitter/Retail,Macro,0.5,0.9170334339141846,0.028665540739893913,0.4585167169570923,0.014332770369946957,0.44418394658714533
2015-11-28,Energy Up After OPEC+ Deal Confirmed -- Energy Roundup #economy #MarketScreener https://t.co/mzguCYDUPd https://t.co/HyyDGplTcQ,Twitter/Retail,Supply,0.5,0.4968128204345703,0.033436696976423264,0.24840641021728516,0.016718348488211632,0.23168806172907352
2015-12-09,Tullow Oil: diminishing reserves https://t.co/k73wE7kYpL,Twitter/Retail,Macro,0.5,0.011505049653351307,0.9600599408149719,0.0057525248266756535,0.48002997040748596,-0.4742774455808103
2015-12-31,OPEC Cannot And Will Not Cut Production In March. https://t.co/0nj0my35zT #investing #markets #stockmarket,Twitter/Retail,Supply,0.5,0.023647811263799667,0.7078390717506409,0.011823905631899834,0.35391953587532043,-0.3420956302434206
2016-01-02,Oil Jumps After OPEC Agrees To 500Kbpd Production Cut https://t.co/tP6Uw4Fc46,Twitter/Retail,Macro,0.5,0.27237606048583984,0.6628656387329102,0.13618803024291992,0.3314328193664551,-0.19524478912353516
2016-01-04,News Highlights : Top Energy News of the Day #WTI #Stock #MarketScreener https://t.co/XltkskkpZw https://t.co/g8VHPlAr19,Twitter/Retail,Supply,0.5,0.046807918697595596,0.03416289761662483,0.023403959348797798,0.017081448808312416,0.006322510540485382
2016-01-04,Coronavirus Hits Oil's Weakest Credits Hardest,Twitter/Retail,Supply,0.5,0.03419196233153343,0.9338977932929993,0.017095981165766716,0.46694889664649963,-0.4498529154807329
2016-01-16,"Shares gain, but doubts linger on U.S.-China deal, oil rises",Twitter/Retail,Macro,0.5,0.26240918040275574,0.40877091884613037,0.13120459020137787,0.20438545942306519,-0.07318086922168732
2016-01-27,Sales of Latin American oil cargoes to China have ground to a halt this week https://t.co/fTXzryY9Wf,Twitter/Retail,Macro,0.5,0.007732600439339876,0.9478974342346191,0.003866300219669938,0.47394871711730957,-0.47008241689763963
2016-02-14,The U.S. steps up pressure on Saudi Arabia to seal a historic deal to cut global oil production https://t.co/oFYDzcoSlF,Twitter/Retail,Supply,0.5,0.7229127287864685,0.21583804488182068,0.36145636439323425,0.10791902244091034,0.2535373419523239
2016-04-16,REG Blending Partner Becomes Boston’s Official Heating Oil Provider,Twitter/Retail,Supply,0.5,0.18239323794841766,0.00788898766040802,0.09119661897420883,0.00394449383020401,0.08725212514400482
2016-04-22,News Highlights : Top Energy News of the Day #WTI #Stock #MarketScreener https://t.co/sNjfeioj1l https://t.co/KiovB27Z9y,Twitter/Retail,Supply,0.5,0.04208293929696083,0.0346456803381443,0.021041469648480415,0.01732284016907215,0.003718629479408264
2016-05-06,EIA Petroleum Status Report is due in 5 minutes.,Twitter/Retail,Macro,0.5,0.021434396505355835,0.0555025152862072,0.010717198252677917,0.0277512576431036,-0.017034059390425682
2016-05-19,"CN Rail Strike Begins, Threatening Canada Oil, Grain Shipments",Twitter/Retail,Macro,0.5,0.010406005196273327,0.9295236468315125,0.0052030025981366634,0.4647618234157562,-0.45955882081761956
2016-06-17,News Highlights : Top Energy News of the Day #WTI #Stock #MarketScreener https://t.co/4isucOkCiC https://t.co/fNEMVJcvmj,Twitter/Retail,Supply,0.5,0.04874600097537041,0.030209483578801155,0.024373000487685204,0.015104741789400578,0.009268258698284626
2016-07-18,"Highlight: “Based on the long term picture of crude oil… it’s all pointing to a very bearish picture,” @spyjared sa… https://t.co/Gr2SNNpCOz",Twitter/Retail,Macro,0.5,0.07625073939561844,0.22912438213825226,0.03812536969780922,0.11456219106912613,-0.07643682137131691
2016-08-04,Berry Petroleum's stock plunges to 2-year low after California prohibits using steam to extract oil,Twitter/Retail,Supply,0.5,0.007176476530730724,0.9692846536636353,0.003588238265365362,0.4846423268318176,-0.48105408856645226
2016-08-28,US Forces Attack Boats Caught Smuggling Oil To Syrian Government https://t.co/sNowxtNXpw,Twitter/Retail,Macro,0.5,0.021922539919614792,0.9224832653999329,0.010961269959807396,0.46124163269996643,-0.45028036274015903
2016-08-31,Congo Palm-Oil Producer Implicated in Environmental Report,Twitter/Retail,Macro,0.5,0.02624649554491043,0.8389400839805603,0.013123247772455215,0.41947004199028015,-0.40634679421782494
2016-09-13,Coconut Oil Market Procurement Intelligence Report | Increase in Supplier OPEX to Impact Procurement Spend,Twitter/Retail,Supply,0.5,0.4094701111316681,0.4520237147808075,0.20473505556583405,0.22601185739040375,-0.021276801824569702
2016-09-22,Saudi Arabia is ramping up crude oil production in a bid to win a price war. Insights via @CMEGroup https://t.co/2PQijkKFcd,Twitter/Retail,Macro,0.5,0.10945519059896469,0.015071680769324303,0.054727595299482346,0.007535840384662151,0.047191754914820194
2016-10-05,The Best And Worst Oil Predictions Of 2019,Twitter/Retail,Supply,0.5,0.031448084861040115,0.15613572299480438,0.015724042430520058,0.07806786149740219,-0.062343819066882133
2016-10-16,Stock Market Update: WTI crude falls back below $50 per barrel,Twitter/Retail,Supply,0.5,0.01967211626470089,0.9516674876213074,0.009836058132350445,0.4758337438106537,-0.46599768567830324
2016-10-18,"Lower oil prices typically boost global growth, but the recent decline to an 18-year low will likely provide less s… https://t.co/flxCWZiS0Z",Twitter/Retail,Macro,0.5,0.04708879441022873,0.9170054197311401,0.023544397205114365,0.45850270986557007,-0.4349583126604557
2016-11-15,Oil producers still in talks over extending output cut -Algeria minister #economy #MarketScreener… https://t.co/ZXoA41oqbw,Twitter/Retail,Macro,0.5,0.04354967549443245,0.407654732465744,0.021774837747216225,0.203827366232872,-0.18205252848565578
2016-11-18,"For the global oil market, the coronavirus epidemic couldn't have hit a worse place https://t.co/qorAXCKzcT",Twitter/Retail,Supply,0.5,0.06564740836620331,0.5640875697135925,0.032823704183101654,0.28204378485679626,-0.2492200806736946
2016-11-25,Two Canadian rail terminal owners are unable to take oil deliveries amid the rail strike https://t.co/2o7PekCcKI,Twitter/Retail,Macro,0.5,0.008351688273251057,0.9588297605514526,0.004175844136625528,0.4794148802757263,-0.4752390361391008
2016-11-27,"OPEC, Russia and other oil producing nations have agreed to deeper production cuts in an attempt to support crude p… https://t.co/yY5TKhHz8Z",Twitter/Retail,Supply,0.5,0.41658109426498413,0.5348389148712158,0.20829054713249207,0.2674194574356079,-0.059128910303115845
2016-12-19,Here is What Hedge Funds Think About Imperial Oil Limited (IMO),Twitter/Retail,Macro,0.5,0.028827086091041565,0.03745892271399498,0.014413543045520782,0.01872946135699749,-0.0043159183114767075
2016-12-27,"Total beats quarterly forecasts despite low oil price, raises payout",Twitter/Retail,Macro,0.5,0.923977792263031,0.04321945831179619,0.4619888961315155,0.021609729155898094,0.4403791669756174
2017-01-19,Malaysia to Publish Oil-Palm Concession Maps in Traceability Bid,Twitter/Retail,Macro,0.5,0.11987148225307465,0.00818574707955122,0.05993574112653732,0.00409287353977561,0.05584286758676171
2017-01-30,The Expected and Thrilling Resolution of Oil’s Consolidation,Twitter/Retail,Macro,0.5,0.2863202393054962,0.07039989531040192,0.1431601196527481,0.03519994765520096,0.10796017199754715
2017-01-31,A Montreal satellite company makes a major breakthrough in monitoring pollution from oil and gas fields https://t.co/3m8eDYb4RY,Twitter/Retail,Macro,0.5,0.8188243508338928,0.009255079552531242,0.4094121754169464,0.004627539776265621,0.4047846356406808
2017-02-06,"Dec. WTI oil down $1.84, or 3.2%, to settle at $55.21/bbl",Twitter/Retail,Macro,0.5,0.011341956444084644,0.9675410389900208,0.005670978222042322,0.4837705194950104,-0.47809954127296805
2017-02-07,EIA Petroleum Status Report due in 5 minutes.,Twitter/Retail,Macro,0.5,0.023620059713721275,0.06596340239048004,0.011810029856860638,0.03298170119524002,-0.021171671338379383
2017-02-20,Mexico's giant oil find may not be a cure-all for ailing Pemex https://t.co/6bgoCuWZR8,Twitter/Retail,Macro,0.5,0.035755228251218796,0.8432691693305969,0.017877614125609398,0.42163458466529846,-0.40375697053968906
2017-03-08,"March WTI oil continues its decline, down 49 cents, or 1%, at $50.46/bbl",Twitter/Retail,Macro,0.5,0.007686627097427845,0.9757136106491089,0.0038433135487139225,0.48785680532455444,-0.4840134917758405
2017-03-16,WTI crude oil up just 1.2% and still below 60.,Twitter/Retail,Supply,0.5,0.8121463060379028,0.14143624901771545,0.4060731530189514,0.07071812450885773,0.3353550285100937
