Date,Log_Return_1d,Log_Return_7d,Log_Return_14d,Log_Return_30d,Log_Return_60d,Log_Return_90d,Log_Return_120d,RSI_14,MACD_Hist,ATR_14_Pct,BB_Width,Volatility_30d,Close_to_SMA20,Close_to_SMA50,Close_to_SMA200,Volume_Change_1d,Bullish_FVG,Bearish_FVG,Swing_High,Swing_Low,Bullish_BOS,Bearish_BOS,Target_7d,Target_14d,Target_28d,Target_42d,Target_60d,Target_90d,Target_120d,Dist_to_Swing_High,Dist_to_Swing_Low,Fear_Greed_Score,SP500_Return_7d,BTC_Volatility_30d,Sentiment_Score,News_Volume,Sentiment_EMA_7d,Sentiment_EMA_30d,FearGreed_Score,FearGreed_EMA_7d,FearGreed_EMA_30d
2021-11-18,-2.3723382240726854,0.0762888553385476,-0.3335123187068732,0.2958011868146372,1.3324828763789989,1.2736681070405853,1.3998161267147704,48.43379431898865,0.1612646873692773,3.697038317011324,520.1804582438793,12.599533251900672,-0.3833230397747221,0.0176483021502668,0.7115620501788176,1.971231008342056,False,False,False,False,False,False,-0.2586436222141807,-0.3445987523202587,-0.5880506406316452,-0.6335922647074764,-0.668693020088832,-0.7446460390937127,-0.6246046714504093,-0.5279831394581788,0.079517144522207,54.0,0.0041087321696435,0.575991110064569,0.21156207,57.0,0.1359259825774206,0.15420440650420744,0.08,0.2880404223943214,0.3948354361376198
2021-11-19,-0.2484576393300423,-0.3742038520017944,-0.3776852491255241,-0.1163674441287508,1.195891105166617,1.0019058710827655,1.1647290634101095,47.8785359045507,0.0638324405179192,5.214822446517864,537.125679361714,12.618197222938678,-0.5051619498468933,-0.2150593283821961,0.3710569726451971,-0.635766788882915,False,False,True,False,False,True,-0.0734775086452695,-0.182869106811747,-0.4752902844374833,-0.5644977156826722,-0.5935191807103305,-0.7115215150923938,-0.5118126984194411,-0.9293862248788712,-0.1579734949664658,34.0,0.0109689297285165,0.5722863549050726,0.16229543,62.0,0.14251834465773205,0.1547264080780435,-0.32,0.13603031679574107,0.34871702090293466
2021-11-20,1.7754834206236871,1.9069073379352743,1.578428473278738,1.669409683792717,3.021074076522516,2.966421389533056,2.941559433029849,57.08850241086475,0.1208514310014491,0.9118035996663536,512.4034777704385,14.061651423142358,1.6606130074275267,3.2639683795769288,6.933097848819745,0.0931014545270456,False,False,False,False,False,False,-0.8383863730916753,-0.8699144324429403,-0.9120770452395288,-0.923285052125519,-0.9367450907867396,-0.9515366082427308,-0.9311130613512492,-0.5831574130844556,3.970595411554633,43.0,0.0109689297285165,0.5465749554286945,0.024119113,26.0,0.11291853665345386,0.1463001309530484,-0.14,0.0670227375968058,0.3171868905221002
2021-11-21,-1.524679816804251,0.2966084913319056,-0.0599985379926875,0.297728257601882,1.3684307217360745,1.2851378367108488,1.4125432807857232,48.41163057645725,0.032689478833494,4.170784477264416,524.498064967246,15.09390485366533,-0.4086545570554435,-0.0839555081632945,0.7413012153660422,0.2869058849051682,False,False,False,False,False,False,-0.2511289885004441,-0.46036055616644,-0.5988440765705194,-0.6335278594411088,-0.7276499708278722,-0.812664897489072,-0.6757421774189549,-0.909257226028495,0.0820526263212341,49.0,0.0109689297285165,0.5428436559629789,0.16253105,21.0,0.12532166450495627,0.14734728689539778,-0.02,0.04526705319760435,0.29543289758519053
2021-11-22,-0.4114129913682826,-0.2870625204780191,-0.4690696103924151,-0.1173751426327734,1.0282120952176117,1.0128704155349926,0.9372293967691174,47.67916249240528,-0.0370012132024349,7.0243861967571215,543.1953024855724,15.165340445623226,-0.5961992982019183,-0.3970303299993956,0.1608060729180944,-0.6921908412995755,False,False,False,False,False,True,0.1613686223546815,-0.2474565129675039,-0.4088879308732323,-0.4684477296068109,-0.6502624052388416,-0.7224945243170207,-0.5156909158441637,-0.9398635676763598,-0.2829094628094845,50.0,0.0072158830785669,0.5594594045435903,0.019541958,50.0,0.09887673796545793,0.13910178182775682,0.0,0.03395028989820326,0.27637271064421054
2021-11-23,0.0498417175733522,-0.2978579207594192,-0.3446203224968804,-0.011436005674341,1.1211105950812512,1.0549571677550833,1.0277621449473504,47.7646249892174,-0.0794182390414768,7.445697043038064,554.4048062896906,15.165254193720962,-0.568364725983085,-0.3709983490602757,0.227968020485277,-0.3944372653990523,False,False,False,False,False,False,0.142939571674732,-0.3082456927401845,-0.4286624525513747,-0.4306756030045106,-0.7140156082821826,-0.7529308747020717,-0.5346145952200294,-0.9367903126335364,-0.2462627575689522,33.0,0.001674946897632,0.5660786937439231,0.16418992,53.0,0.1152050334314356,0.1407203713762479,-0.34,-0.05953728257634756,0.236606729312326
2021-11-24,-0.0431751490216722,-2.774738682399894,-0.3718139383882975,-0.1826055368694855,1.0915770635019135,0.9107129507023898,0.8943801565549616,47.691711860244205,-0.1043756935797358,7.226699042050789,569.4739050399533,15.158768673749284,-0.5770989182348903,-0.4016980592455714,0.1870862553241709,-0.0173864444670257,False,False,False,False,False,False,0.0881761245018031,-0.2706679478552698,-0.4085670197456114,-0.424599042382303,-0.6746153669194095,-0.7447910791049906,-0.5423512465266119,-0.939461324727468,-0.2781129592399074,42.0,0.0039769105523163,0.5552269854487628,0.056487087,49.0,0.10052554686366391,0.1352859659429641,-0.16,-0.08465296193226067,0.21101919838895014
2021-11-25,0.1031266307070439,-0.2992738276201649,-0.2229849722816172,-0.059904749082804,1.175719568333939,0.9466699589744728,1.1163877515440488,47.902581585792745,-0.1135601383796732,6.067173617662103,578.1297225382494,15.163435786354867,-0.5252042558080952,-0.3407373464372312,0.3224542113043032,0.2240767743203136,False,False,False,True,False,False,-0.1159430642018579,-0.3729620722245164,-0.4579878692029427,-0.5114697709341967,-0.7562397035155177,-0.7630497889744435,-0.6033271422074897,-0.9328849002491052,0.2909400354690709,32.0,0.0039769105523163,0.5410120750742239,0.22380303,45.0,0.13134491726382727,0.14099674417014818,-0.36,-0.15348972144919548,0.17417925010579208
2021-11-26,-0.0255007696490186,-0.0763169579391411,-0.4505208099409354,-0.0373473076365432,1.1572552600445052,0.9936375884488818,0.912182628152836,47.849203725538935,-0.1150531790163461,5.789150513061558,583.3006226166998,15.162777479510211,-0.5337667086525835,-0.3585708405518065,0.2971910366325942,-0.7951709513631333,False,False,True,False,False,False,-0.1180668566464358,-0.3932870640053124,-0.501335117255757,-0.5321031533328644,-0.7011131353350827,-0.7574269197790817,-0.555602240426229,-0.9433922299418672,0.2584362679234663,47.0,-0.0228678796641313,0.5781780844629658,-0.008671966,37.0,0.0963406963525277,0.13134069832811468,-0.06,-0.13011729108689662,0.15907091138928936
2021-11-27,0.029253567040291,-1.8225468115225367,0.0843605264127372,-0.0945677628183589,1.206804845702655,1.041532613721751,0.9543227304844084,47.92103167458638,-0.1100952719826204,5.224540779806422,590.5646310306381,15.159924420166176,-0.5149162523814718,-0.3419726367170153,0.3482453289241848,0.6404207053000619,False,False,False,False,False,False,-0.1950829268199596,-0.4261538958176565,-0.5135691529658568,-0.5545141510544118,-0.7059921974239701,-0.7459500462436128,-0.6164559041389625,-0.941711791168866,0.2957937737181252,21.0,-0.0228678796641313,0.5689114051634797,0.23465297,28.0,0.13091876382962328,0.13800600593668214,-0.58,-0.24258796831517246,0.1113889171061094
