Date,USD_Index,US_10Y_Yield,VIX,CPI_Inflation,USDA_WASDE_Stocks,Precipitation_KeyRegions,Temperature_Anomaly_KeyRegions,Planting_Progress_Pct,Export_Sales
2014-05-20,80.04000092,2.52,12.96000004,,187.42,1.486028333,2.947783079,,
2014-05-21,80.09999847,2.54,11.90999985,,187.42,0.805607147,3.096767333,,
2014-05-22,80.25,2.56,12.02999973,,187.42,0.924019487,3.143844795,,529118.0
2014-05-23,80.38999939,2.54,11.35999966,,187.42,0.961693833,3.244652905,,529118.0
2014-05-24,80.38999939,2.54,11.35999966,,187.42,0.825270107,3.034039638,,529118.0
2014-05-25,80.38999939,2.54,11.35999966,,187.42,1.242984047,2.94006141,74.0,529118.0
2014-05-26,80.38999939,2.54,11.35999966,,187.42,1.599600567,3.181673333,74.0,529118.0
2014-05-27,80.34999847,2.52,11.51000023,,187.42,2.318427167,2.892257018,74.0,529118.0
2014-05-28,80.56999969,2.44,11.68000031,,187.42,2.110511073,2.484229359,74.0,529118.0
2014-05-29,80.48999786,2.45,11.56999969,,187.42,2.20791485,1.887158169,74.0,491985.0
2014-05-30,80.37000275,2.48,11.39999962,,187.42,3.141473567,1.454849679,74.0,491985.0
2014-05-31,80.37000275,2.48,11.39999962,,187.42,4.628650267,1.036729705,74.0,491985.0
2014-06-01,80.37000275,2.48,11.39999962,237.231,188.61,3.138025633,1.171615874,88.0,491985.0
2014-06-02,80.63999939,2.54,11.57999992,237.231,188.61,2.4535049,1.158097656,88.0,491985.0
2014-06-03,80.55000305,2.6,11.86999989,237.231,188.61,1.387117263,1.312636574,88.0,491985.0
2014-06-04,80.66999817,2.61,12.07999992,237.231,188.61,1.708542343,1.284917479,88.0,491985.0
2014-06-05,80.37000275,2.59,11.68000031,237.231,188.61,1.664443033,1.388180115,88.0,478901.0
2014-06-06,80.41000366,2.6,10.72999954,237.231,188.61,0.858221027,1.546198569,88.0,478901.0
2014-06-07,80.41000366,2.6,10.72999954,237.231,188.61,1.364837033,1.528698077,88.0,478901.0
2014-06-08,80.41000366,2.6,10.72999954,237.231,188.61,1.54342142,0.899827659,95.0,478901.0
2014-06-09,80.65000153,2.62,11.14999962,237.231,188.61,2.03128175,0.696296833,95.0,478901.0
2014-06-10,80.81999969,2.64,10.98999977,237.231,188.61,1.8423501,0.781247474,95.0,478901.0
2014-06-11,80.79000092,2.65,11.60000038,237.231,188.61,1.420260773,0.181458838,95.0,478901.0
2014-06-12,80.58000183,2.58,12.56000042,237.231,188.61,1.797587113,-0.207692026,95.0,523815.0
2014-06-13,80.58000183,2.6,12.18000031,237.231,188.61,2.1203801,-0.5531087,95.0,523815.0
2014-06-14,80.58000183,2.6,12.18000031,237.231,188.61,2.210297633,-1.588943423,95.0,523815.0
2014-06-15,80.58000183,2.6,12.18000031,237.231,188.61,1.330051527,-1.810025246,95.0,523815.0
2014-06-16,80.47000122,2.61,12.64999962,237.231,188.61,1.004291187,-1.445675564,95.0,523815.0
2014-06-17,80.62999725,2.66,12.06000042,237.231,188.61,2.0571326,-0.968876103,95.0,523815.0
