Date,Headline,Publisher,Topic,Source_Weight,Raw_Bullish,Raw_Bearish,Weighted_Bullish,Weighted_Bearish,NSS
2014-03-07,Shelf Drilling : USDA's Recommendations for a Safe Thanksgiving #ShelfDrilling #Stock #MarketScreener… https://t.co/sLa64XAoNX,Twitter/Retail,Supply,0.5,0.10863516479730606,0.018356163054704666,0.05431758239865303,0.009178081527352333,0.0451395008713007
2014-07-07,UPDATE 2-Canada's labor union says no progress in talks with CN Rail; strike threatens grain exports,Twitter/Retail,Macro,0.5,0.008895362727344036,0.9668256640434265,0.004447681363672018,0.48341283202171326,-0.47896515065804124
2014-11-05,USDA Weekly By-Product Value Hog Report - Nov 22 #matprem #MarketScreener https://t.co/VfAI6zs7h2 https://t.co/SsCcHn9CtP,Twitter/Retail,Macro,0.5,0.02612956613302231,0.05786603316664696,0.013064783066511154,0.02893301658332348,-0.015868233516812325
2015-02-17,HORNBACH : USDA Releases 2018 Annual Pesticide Data Program Summary #HORNBACH #Stock #MarketScreener… https://t.co/ErsPNvvazi,Twitter/Retail,Macro,0.5,0.023709140717983246,0.04460998997092247,0.011854570358991623,0.022304994985461235,-0.010450424626469612
2015-03-12,"CN Rail Strike Begins in Threat to Canadian Oil, Grain Cargo",Twitter/Retail,Macro,0.5,0.01084921881556511,0.9362379908561707,0.005424609407782555,0.4681189954280853,-0.4626943860203028
2016-05-19,"CN Rail Strike Begins, Threatening Canada Oil, Grain Shipments",Twitter/Retail,Macro,0.5,0.010406005196273327,0.9295236468315125,0.0052030025981366634,0.4647618234157562,-0.45955882081761956
2017-03-20,Tobacco exports from Tanzania-a key crop and source of foreign exchange-could drop as much as 20% this year because… https://t.co/PBj4l4Emi3,Twitter/Retail,Macro,0.5,0.007642319891601801,0.9739757776260376,0.0038211599458009005,0.4869878888130188,-0.4831667288672179
2018-10-18,GRAIN HIGHLIGHTS : Top Stories of the Day  #Stock #MarketScreener https://t.co/Ay5aZBNgQd https://t.co/6PuhYXuhsY,Twitter/Retail,Macro,0.5,0.04790997877717018,0.02831943705677986,0.02395498938858509,0.01415971852838993,0.00979527086019516
2020-10-21,Grain Futures Rise on U.S.-China Trade Hopes  #Stock #MarketScreener https://t.co/RGHc4FOFhO https://t.co/H8l70569iI,Twitter/Retail,Macro,0.5,0.6183655261993408,0.3300248086452484,0.3091827630996704,0.1650124043226242,0.1441703587770462
2020-11-22,USDA Supply/Demand : World Wheat-Feb 11 #Stock #MarketScreenerÂ https://t.co/Ys2aHjCCYkÂ https://t.co/iGX4pFYTMh,Twitter/Retail,Supply,0.5,0.028254782781004906,0.0421169251203537,0.014127391390502453,0.02105846256017685,-0.0069310711696743965
2020-12-17,Wheat Futures Jump as Virus-Stricken Nations Seek Food Security  #Stock #MarketScreener https://t.co/J0EBT5yD2E https://t.co/9hvC9ibgAx,Twitter/Retail,Macro,0.5,0.028621643781661987,0.9226234555244446,0.014310821890830994,0.4613117277622223,-0.4470009058713913
2020-12-29,U.S. farms face crop losses due to foreign worker delays #economy #MarketScreener https://t.co/iwMpBCyP52 https://t.co/pb8NNtZRea,Twitter/Retail,Macro,0.5,0.009740999899804592,0.9516239762306213,0.004870499949902296,0.47581198811531067,-0.4709414881654084
2021-02-07,USDA Chicago Terminal Grain - Feb 10 #matprem #MarketScreener https://t.co/ZLC7avpIHW https://t.co/lrKRg8AQ5G,Twitter/Retail,Macro,0.5,0.031578756868839264,0.0366680771112442,0.015789378434419632,0.0183340385556221,-0.002544660121202469
2021-07-20,USDA United States Department of Agriculture : Secretary Perdue Statement on USMCA Agreement #USDA #economy… https://t.co/1g4vKSv0Bu,Twitter/Retail,Macro,0.5,0.058114346116781235,0.023817330598831177,0.029057173058390617,0.011908665299415588,0.01714850775897503
2022-05-15, 100 million investment: AGRANA opens second wheat starch plant at site in Pischelsdorf (...… https://t.co/6lZoMyTy3H,Twitter/Retail,Macro,0.5,0.5094836950302124,0.00987520907074213,0.2547418475151062,0.004937604535371065,0.24980424297973514
2022-10-03,"Ethiopia's wheat output jumped about 70% this decade, it has failed to keep pace with rising demand https://t.co/5tMw3cHYbu",Twitter/Retail,Macro,0.5,0.10874462872743607,0.8712189793586731,0.05437231436371803,0.43560948967933655,-0.3812371753156185
2022-10-06,Swiss grain merchant Ameropa picks Bunge executive as next CEO,Twitter/Retail,Macro,0.5,0.06246233731508255,0.019794443622231483,0.031231168657541275,0.009897221811115742,0.021333946846425533
2023-11-05,Tobacco exports from Tanzania-a key crop and source of foreign exchange-could drop as much as 20% this year because… https://t.co/tphI9DEicz,Twitter/Retail,Macro,0.5,0.007492979522794485,0.9737852811813354,0.0037464897613972425,0.4868926405906677,-0.4831461508292705
