Date,Strategy_Equity,Buy_Hold_Equity
2025-04-17,100000.0,101025.64
2025-04-18,100000.0,100496.15
2025-04-19,100000.0,101225.16
2025-04-20,100000.0,101357.12
2025-04-21,100000.0,104147.18
2025-04-22,100000.0,111195.51
2025-04-23,100000.0,111501.6
2025-04-24,100000.0,111792.78
2025-04-25,100000.0,112717.05
2025-04-26,100000.0,112629.51
2025-04-27,100000.0,111567.93
2025-04-28,100000.0,113024.37
2025-04-29,100000.0,112198.56
2025-04-30,100000.0,112106.36
2025-05-01,100000.0,114825.53
2025-05-02,100000.0,115322.64
2025-05-03,100000.0,114110.89
2025-05-04,100000.0,112235.67
2025-05-05,100000.0,112749.84
2025-05-06,100000.0,115194.6
2025-05-07,100000.0,115468.11
2025-05-08,100000.0,122856.97
2025-05-09,100000.0,122534.94
2025-05-10,100000.0,124588.25
2025-05-11,100000.0,123886.19
2025-05-12,100000.0,122347.04
2025-05-13,100000.0,123961.7
2025-05-14,100000.0,123211.53
2025-05-15,100000.0,123455.75
2025-05-16,99900.0,123151.88
2025-05-17,99612.14,122797.02
2025-05-18,102754.17,126670.37
2025-05-19,101943.47,125670.97
2025-05-20,103087.28,127081.01
2025-05-21,105874.15,130516.52
2025-05-22,107800.15,132890.8
2025-05-23,103566.77,127672.09
2025-05-24,104052.67,128271.09
2025-05-25,105253.75,129751.72
2025-05-26,105644.68,130233.64
2025-05-27,105214.41,129703.23
2025-05-28,104063.45,128284.38
2025-05-29,101977.82,125713.31
2025-05-30,100391.62,123757.92
2025-05-31,101008.96,124518.96
2025-06-01,101987.8,125725.62
2025-06-02,102107.06,125998.64
2025-06-03,102107.06,125464.26
2025-06-04,102107.06,124630.69
2025-06-05,102107.06,120875.02
2025-06-06,102107.06,124224.13
2025-06-07,102107.06,125682.21
2025-06-08,102107.06,125894.06
2025-06-09,102107.06,131249.58
2025-06-10,102107.06,131205.71
2025-06-11,102004.96,129336.69
2025-06-12,99416.91,126055.19
2025-06-13,99568.87,126247.87
2025-06-14,98988.34,125511.78
2025-06-15,99063.06,125606.53
2025-06-16,100231.27,127087.76
2025-06-17,98170.61,124474.95
2025-06-18,98337.04,124810.78
2025-06-19,98337.04,124573.93
2025-06-20,98337.04,122938.05
2025-06-21,98337.04,121685.95
2025-06-22,98337.04,120174.33
2025-06-23,98337.04,125637.17
2025-06-24,98337.04,126193.92
2025-06-25,98337.04,127759.51
2025-06-26,98337.04,127282.02
2025-06-27,98337.04,127434.85
2025-06-28,98337.04,127719.58
2025-06-29,98337.04,128978.44
2025-06-30,98337.04,127490.66
2025-07-01,98337.04,125780.57
2025-07-02,98337.04,129542.2
2025-07-03,98337.04,130480.7
2025-07-04,98238.7,128560.47
2025-07-05,98417.7,128794.71
2025-07-06,99327.83,129985.77
2025-07-07,98480.14,128876.43
2025-07-08,99071.59,129650.43
2025-07-09,101232.41,132478.2
2025-07-10,105470.47,138024.35
2025-07-11,106861.55,139844.8
2025-07-12,106787.2,139747.5
2025-07-13,108315.68,141747.75
2025-07-14,108982.75,142620.72
2025-07-15,107098.15,140154.43
2025-07-16,107972.31,141298.4
2025-07-17,108473.65,141954.49
2025-07-18,107303.7,140423.42
2025-07-19,107246.18,140348.15
2025-07-20,106664.95,139587.52
2025-07-21,106791.12,139752.63
2025-07-22,109115.25,142794.11
2025-07-23,107987.27,141317.98
2025-07-24,107635.4,140857.49
2025-07-25,106969.66,139986.28
2025-07-26,107252.9,140356.94
2025-07-27,108617.92,142143.28
2025-07-28,107232.09,140329.7
2025-07-29,107229.97,140326.93
2025-07-30,107147.26,140218.69
2025-07-31,105262.23,137751.85
2025-08-01,103045.18,134850.5
2025-08-02,102323.93,133906.62
2025-08-03,103861.38,135918.62
2025-08-04,104638.14,136935.13
2025-08-05,103792.07,135827.91
2025-08-06,104598.24,136882.91
2025-08-07,106843.28,139820.89
2025-08-08,106108.38,138859.17
2025-08-09,105937.1,138635.01
2025-08-10,108489.03,141974.61
2025-08-11,107965.89,141289.99
2025-08-12,109276.65,143005.33
2025-08-13,112160.27,146778.99
2025-08-14,107627.74,140847.47
2025-08-15,106753.67,139703.62
2025-08-16,106838.23,139814.29
2025-08-17,106803.42,139768.72
2025-08-18,105711.54,138339.83
2025-08-19,102600.61,134268.7
2025-08-20,103809.37,135986.53
2025-08-21,103809.37,133778.24
2025-08-22,103809.37,139079.74
2025-08-23,103809.37,137295.04
2025-08-24,103809.37,135015.12
2025-08-25,103809.37,131047.58
2025-08-26,103809.37,133044.76
2025-08-27,103809.37,132353.85
2025-08-28,103809.37,133927.91
2025-08-29,103809.37,129008.51
2025-08-30,103809.37,129481.21
2025-08-31,103809.37,128801.3
2025-09-01,103809.37,130007.81
2025-09-02,103809.37,132328.3
2025-09-03,103809.37,132950.22
2025-09-04,103809.37,131760.69
2025-09-05,103809.37,131674.27
2025-09-06,103809.37,131166.99
2025-09-07,103809.37,132289.07
2025-09-08,103809.37,133364.6
2025-09-09,103809.37,132720.95
2025-09-10,103809.37,135606.47
2025-09-11,103809.37,137453.56
2025-09-12,103809.37,138160.46
2025-09-13,103809.37,137980.69
2025-09-14,103809.37,137334.7
2025-09-15,103809.37,137378.99
2025-09-16,103809.37,139042.97
2025-09-17,103809.37,138597.11
2025-09-18,103809.37,139392.85
2025-09-19,103809.37,137669.33
2025-09-20,103809.37,137708.72
2025-09-21,103809.37,137213.84
2025-09-22,103809.37,134170.32
2025-09-23,103809.37,133296.85
2025-09-24,103809.37,134860.67
2025-09-25,103809.37,129768.26
2025-09-26,103809.37,130557.87
2025-09-27,103809.37,130521.12
2025-09-28,103809.37,133425.54
2025-09-29,103809.37,136136.04
2025-09-30,103809.37,135726.33
2025-10-01,103809.37,141191.8
2025-10-02,103809.37,143610.26
2025-10-03,103809.37,145496.73
2025-10-04,103705.56,145685.82
2025-10-05,104627.23,146980.59
2025-10-06,105676.83,148455.06
2025-10-07,102880.45,144526.71
2025-10-08,104492.88,146791.85
2025-10-09,103095.78,144829.21
2025-10-10,95902.94,134724.69
2025-10-11,93864.43,131860.98
2025-10-12,97559.34,137051.61
2025-10-13,97547.52,137172.17
2025-10-14,97547.52,134610.8
2025-10-15,97547.52,131831.57
2025-10-16,97547.52,128741.0
2025-10-17,97547.52,126696.29
2025-10-18,97547.52,127565.55
2025-10-19,97547.52,129313.0
2025-10-20,97547.52,131600.43
2025-10-21,97547.52,129087.11
2025-10-22,97547.52,128149.03
2025-10-23,97547.52,130982.58
2025-10-24,97547.52,132129.97
2025-10-25,97547.52,132853.25
2025-10-26,97547.52,136221.8
2025-10-27,97547.52,135801.59
2025-10-28,97547.52,134417.43
2025-10-29,97547.52,130965.42
2025-10-30,97547.52,128883.21
2025-10-31,97547.52,130371.44
2025-11-01,97547.52,130975.78
2025-11-02,97547.52,131660.76
2025-11-03,97547.52,126791.17
2025-11-04,97547.52,120892.36
2025-11-05,97547.52,123630.91
2025-11-06,97547.52,120548.17
2025-11-07,97547.52,123012.79
2025-11-08,97547.52,121715.35
2025-11-09,97547.52,124616.0
2025-11-10,97547.52,126135.57
2025-11-11,97547.52,122566.62
2025-11-12,97547.52,120978.83
2025-11-13,97547.52,118639.66
2025-11-14,97547.52,112333.03
2025-11-15,97547.52,113703.14
2025-11-16,97547.52,112070.38
2025-11-17,97547.52,109591.38
2025-11-18,97547.52,110608.83
2025-11-19,97547.52,108844.2
2025-11-20,97547.52,103091.65
2025-11-21,97547.52,101257.61
2025-11-22,97547.52,100731.24
2025-11-23,97547.52,103297.65
2025-11-24,97547.52,105041.65
2025-11-25,97547.52,103936.54
2025-11-26,97547.52,107716.53
2025-11-27,97547.52,108629.27
2025-11-28,97547.52,108193.6
2025-11-29,97547.52,108113.27
2025-11-30,97547.52,107568.91
2025-12-01,97547.52,102722.36
2025-12-02,97547.52,108706.41
2025-12-03,97547.52,111297.75
2025-12-04,97547.52,109648.2
2025-12-05,97547.52,106371.11
2025-12-06,97547.52,106233.81
2025-12-07,97547.52,107582.39
2025-12-08,97547.52,107861.52
2025-12-09,97547.52,110302.8
2025-12-10,97547.52,109504.59
2025-12-11,97547.52,110088.16
2025-12-12,97547.52,107421.47
2025-12-13,97547.52,107455.14
2025-12-14,97547.52,104928.15
2025-12-15,97547.52,102839.23
2025-12-16,97547.52,104534.03
2025-12-17,97547.52,102510.76
2025-12-18,97547.52,101700.08
2025-12-19,97547.52,104842.71
2025-12-20,97547.52,105129.04
2025-12-21,97547.52,105459.56
2025-12-22,97547.52,105302.8
2025-12-23,97547.52,104022.35
2025-12-24,97547.52,104257.92
2025-12-25,97547.52,103809.03
2025-12-26,97547.52,103888.39
2025-12-27,97547.52,104484.25
2025-12-28,97547.52,104524.33
2025-12-29,97547.52,103694.07
2025-12-30,97547.52,105231.54
2025-12-31,97547.52,104135.19
2026-01-01,97547.52,105590.74
2026-01-02,97547.52,107033.86
2026-01-03,97547.52,107817.47
2026-01-04,97547.52,108781.73
2026-01-05,97547.52,111719.9
2026-01-06,97547.52,111537.21
2026-01-07,97547.52,108656.26
2026-01-08,97547.52,108321.95
2026-01-09,97547.52,107710.27
2026-01-10,97547.52,107559.79
2026-01-11,97547.52,108084.35
2026-01-12,97547.52,108519.33
2026-01-13,97547.52,113432.58
2026-01-14,97547.52,115345.55
2026-01-15,97547.52,113705.57
2026-01-16,97547.52,113674.55
2026-01-17,97547.52,113168.57
2026-01-18,97547.52,111424.63
2026-01-19,97547.52,110138.44
2026-01-20,97547.52,105089.66
2026-01-21,97547.52,106358.26
2026-01-22,97547.52,106460.0
2026-01-23,97547.52,106509.29
2026-01-24,97547.52,106041.45
2026-01-25,97547.52,103020.63
2026-01-26,97547.52,105037.58
